team_h,team_a,team_a_difficulty,team_h_difficulty,season
10,1,4,4,19_20
2,8,4,2,19_20
15,9,3,3,19_20
12,7,3,4,19_20
4,16,2,2,19_20
18,19,2,2,19_20
5,14,2,3,19_20
16,3,2,3,19_20
9,17,4,3,19_20
13,4,2,2,19_20
8,15,3,2,19_20
7,20,3,3,19_20
11,18,3,4,19_20
1,2,2,3,19_20
19,12,4,2,19_20
6,10,5,4,19_20
18,1,4,2,19_20
4,5,3,2,19_20
20,6,4,4,19_20
17,7,3,3,19_20
3,8,4,2,19_20
12,9,3,4,19_20
14,11,4,2,19_20
10,13,2,4,19_20
15,16,2,3,19_20
2,19,2,2,19_20
1,8,2,3,20_21
16,6,3,2,20_21
10,11,3,3,20_21
14,19,4,2,20_21
9,18,2,4,20_21
7,17,4,4,20_21
20,15,2,2,20_21
5,3,3,4,20_21
18,7,3,2,20_21
8,10,3,2,20_21
6,13,4,2,20_21
19,1,4,4,20_21
17,16,2,3,20_21
3,14,2,3,20_21
11,5,4,4,20_21
4,9,4,2,20_21
15,2,3,2,20_21
12,20,3,4,20_21
13,3,3,4,20_21
7,6,3,4,20_21
5,18,2,4,20_21
16,4,2,2,20_21
10,15,2,3,20_21
14,17,4,2,20_21
9,12,5,4,20_21
20,19,4,2,20_21
2,8,2,2,20_21
1,11,3,3,20_21
6,5,4,2,20_21
3,7,3,3,20_21
12,10,3,4,20_21
4,14,2,2,20_21
19,9,4,4,20_21
18,16,2,2,20_21
15,1,4,2,20_21
8,20,3,2,20_21
17,13,4,3,20_21
11,2,3,4,20_21
11,7,3,4,20_21
16,5,4,2,20_21
1,12,5,3,20_21
13,14,2,4,20_21
8,15,2,2,20_21
3,6,3,3,20_21
19,17,4,4,20_21
2,9,4,2,20_21
4,18,2,2,20_21
20,10,3,2,20_21
10,2,3,3,20_21
12,19,4,4,20_21
6,8,2,2,20_21
5,13,4,4,20_21
15,11,3,2,20_21
7,16,2,4,20_21
14,20,3,2,20_21
9,1,4,4,20_21
18,3,3,2,20_21
17,4,2,3,20_21
6,20,3,2,20_21
12,15,2,4,20_21
5,4,2,4,20_21
19,11,3,4,20_21
16,2,3,2,20_21
7,14,2,4,20_21
1,13,4,3,20_21
3,17,4,3,20_21
18,8,2,2,20_21
9,10,3,4,20_21
4,3,3,2,20_21
14,16,2,2,20_21
13,7,3,4,20_21
10,6,3,3,20_21
15,5,4,2,20_21
8,19,4,2,20_21
17,18,2,3,20_21
20,9,4,2,20_21
11,12,5,4,20_21
2,1,4,2,20_21
5,14,2,4,20_21
3,2,3,3,20_21
12,17,4,4,20_21
18,13,4,2,20_21
7,8,2,4,20_21
19,15,2,4,20_21
1,10,3,3,20_21
9,11,3,4,20_21
6,4,2,2,20_21
16,20,3,2,20_21
14,6,3,2,20_21
11,3,3,4,20_21
4,12,5,2,20_21
10,7,3,3,20_21
15,18,2,2,20_21
13,16,2,4,20_21
17,5,4,3,20_21
20,1,4,2,20_21
